ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
USW00004895,20111001,TMAX,139,,,W,
USW00004895,20111002,TMAX,200,,,W,
USW00004895,20111003,TMAX,228,,,W,
USW00004895,20111004,TMAX,250,,,W,
USW00004895,20111005,TMAX,272,,,W,
USW00004895,20111006,TMAX,261,,,W,
USW00004895,20111007,TMAX,272,,,W,
USW00004895,20111008,TMAX,272,,,W,
USW00004895,20111009,TMAX,272,,,W,
USW00004895,20111010,TMAX,239,,,W,
USW00004895,20111011,TMAX,200,,,W,
USW00004895,20111012,TMAX,200,,,W,
USW00004895,20111013,TMAX,139,,,W,
USW00004895,20111014,TMAX,111,,,W,
USW00004895,20111015,TMAX,128,,,W,
USW00004895,20111016,TMAX,139,,,W,
USW00004895,20111017,TMAX,139,,,W,
USW00004895,20111018,TMAX,111,,,W,
USW00004895,20111019,TMAX,100,,,W,
USW00004895,20111020,TMAX,78,,,W,
USW00004895,20111021,TMAX,122,,,W,
USW00004895,20111022,TMAX,150,,,W,
USW00004895,20111023,TMAX,128,,,W,
USW00004895,20111001,TMIN,-10,,,W,
USW00004895,20111002,TMIN,-21,,,W,
USW00004895,20111003,TMIN,39,,,W,
USW00004895,20111004,TMIN,50,,,W,
USW00004895,20111005,TMIN,61,,,W,
USW00004895,20111006,TMIN,61,,,W,
USW00004895,20111007,TMIN,128,,,W,
USW00004895,20111008,TMIN,172,,,W,
USW00004895,20111009,TMIN,100,,,W,
USW00004895,20111010,TMIN,72,,,W,
USW00004895,20111011,TMIN,122,,,W,
USW00004895,20111012,TMIN,89,,,W,
USW00004895,20111013,TMIN,111,,,W,
USW00004895,20111014,TMIN,72,,,W,
USW00004895,20111015,TMIN,72,,,W,
USW00004895,20111016,TMIN,72,,,W,
USW00004895,20111017,TMIN,61,,,W,
USW00004895,20111018,TMIN,39,,,W,
USW00004895,20111019,TMIN,11,,,W,
USW00004895,20111020,TMIN,22,,,W,
USW00004895,20111021,TMIN,-10,,,W,
USW00004895,20111022,TMIN,-21,,,W,
USW00004895,20111023,TMIN,-27,,,W,
USW00004895,20111001,PRCP,0,,,W,
USW00004895,20111002,PRCP,0,,,W,
USW00004895,20111003,PRCP,0,,,W,
USW00004895,20111004,PRCP,0,,,W,
USW00004895,20111005,PRCP,0,,,W,
